ProviderID,ProviderName,ProviderSpecialty,ProviderState,ProviderType
PRV00001,Provider Practice 001,Rheumatology,PA,Private Practice
PRV00002,Provider Practice 002,Neurology,GA,Private Practice
PRV00003,Provider Practice 003,Rheumatology,GA,Private Practice
PRV00004,Provider Practice 004,Rheumatology,NC,Private Practice
PRV00005,Provider Practice 005,Dermatology,MI,Specialty Clinic
PRV00006,Provider Practice 006,Gastroenterology,OH,Hospital System
PRV00007,Provider Practice 007,Rheumatology,AZ,Hospital System
PRV00008,Provider Practice 008,Neurology,TX,Hospital System
PRV00009,Provider Practice 009,Gastroenterology,CA,Specialty Clinic
PRV00010,Provider Practice 010,Dermatology,MI,Hospital System
PRV00011,Provider Practice 011,Rheumatology,FL,Private Practice
PRV00012,Provider Practice 012,Neurology,FL,Specialty Clinic
PRV00013,Provider Practice 013,Dermatology,PA,Specialty Clinic
PRV00014,Provider Practice 014,Rheumatology,AZ,Specialty Clinic
PRV00015,Provider Practice 015,Rheumatology,TX,Specialty Clinic
PRV00016,Provider Practice 016,Gastroenterology,WA,Private Practice
PRV00017,Provider Practice 017,Dermatology,IL,Private Practice
PRV00018,Provider Practice 018,Gastroenterology,CA,Hospital System
PRV00019,Provider Practice 019,Rheumatology,WA,Hospital System
PRV00020,Provider Practice 020,Dermatology,IL,Private Practice
PRV00021,Provider Practice 021,Rheumatology,NC,Private Practice
PRV00022,Provider Practice 022,Dermatology,GA,Specialty Clinic
PRV00023,Provider Practice 023,Dermatology,VA,Private Practice
PRV00024,Provider Practice 024,Gastroenterology,OH,Private Practice
PRV00025,Provider Practice 025,Rheumatology,IL,Hospital System
PRV00026,Provider Practice 026,Rheumatology,AZ,Private Practice
PRV00027,Provider Practice 027,Neurology,MI,Specialty Clinic
PRV00028,Provider Practice 028,Rheumatology,VA,Private Practice
PRV00029,Provider Practice 029,Gastroenterology,MI,Hospital System
PRV00030,Provider Practice 030,Rheumatology,TX,Specialty Clinic
PRV00031,Provider Practice 031,Rheumatology,CA,Private Practice
PRV00032,Provider Practice 032,Dermatology,TX,Private Practice
PRV00033,Provider Practice 033,Gastroenterology,PA,Specialty Clinic
PRV00034,Provider Practice 034,Gastroenterology,AZ,Hospital System
PRV00035,Provider Practice 035,Gastroenterology,TX,Private Practice
PRV00036,Provider Practice 036,Rheumatology,VA,Hospital System
PRV00037,Provider Practice 037,Gastroenterology,NY,Private Practice
PRV00038,Provider Practice 038,Gastroenterology,PA,Private Practice
PRV00039,Provider Practice 039,Gastroenterology,MA,Specialty Clinic
PRV00040,Provider Practice 040,Gastroenterology,IL,Hospital System
PRV00041,Provider Practice 041,Neurology,WA,Specialty Clinic
PRV00042,Provider Practice 042,Rheumatology,NJ,Hospital System
PRV00043,Provider Practice 043,Dermatology,NY,Hospital System
